HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
-9.076,-47.1698,-11.9403,15.9574,-14.4068,-63.4409,22.1154,-49.505,11.1111,-57.1429,9.258864583333333,-16.5644,18.5714,300.0,3.8834999999999997,3.0675,-43.4524,-5.364,-2.3256,0.0,-17.4194,-33.8983,23.6641,16.6667,21.9512,4.5045,11.6667,2.5316,34.2857,185.7143,-16.6667,-10.9091,-79.0323,-37.5,-5.1546,35.1852,-26.8908,4.9511,133.3333,1.9868000000000001,11.1842,-75.5656,213.5135,9.258864583333333,23.8095,-26.4574,-27.5862,31.0559,-10.0,1.1834,2012-06-30 00:00:00
57.6219,-19.0,-24.2424,-80.198,4.9645,-61.5385,19.0909,-7.6923,4.902,0.0,-9.1483375,29.3578,21.9178,-12.0,18.2927,9.0909,-14.5455,-20.4255,-7.4074,-20.7546,-19.2,15.0943,-37.5,20.8955,6.25,-55.4545,3.2787,-21.7391,-19.7368,-43.8596,43.5897,-88.189,13.1295,-162.5,-31.2183,19.6078,21.2963,-6.9767,-57.1429,-66.9065,4.0248,-47.0588,275.8621,-9.1483375,21.4286,-22.0183,-41.8605,18.1818,-20.6897,-57.1429,2012-09-30 00:00:00
57.6219,-19.0,-25.4545,176.6667,-54.6875,-51.6484,-33.3333,1037.5,9.7561,-88.719,27.86453541666666,55.2083,24.3243,116.6667,1.3699,5.1471,195.0268,-31.7073,-150.0,-11.2038,-19.2,26.1905,-67.0732,125.7143,-5.3008,-55.4545,39.2857,-9.0278,-11.5942,34.1463,24.6154,32.2581,13.1295,76.25,42.9119,41.6667,-10.2273,6.2388,-42.8571,-66.9065,10.8974,48.6906,-32.9114,27.86453541666666,-12.2449,-77.7228,76.9231,9.9502,-17.2414,-57.1429,2012-12-31 00:00:00
118.0229,-44.2478,-28.5714,11.0,-74.7899,-51.6484,15.1261,-12.5874,-3.8095,10.8108,18.163014583333332,-2.9586,22.3684,225.0,-25.7143,1.2422,-1.5625,-37.2385,-15.1515,36.9235,39.1304,26.1905,69.7368,217.6471,-6.25,7.9208,11.6667,15.3226,-24.7312,16.9492,-6.25,26.5306,56.8473,76.25,-3.0303,7.5758,48.3516,20.1847,33.3333,-7.8571,2.6414999999999997,48.6906,-48.4848,18.163014583333332,2.6667,-11.9792,-50.0,13.2597,-2.7027,150.0,2013-03-31 00:00:00
154.1805,-44.2478,0.0,14.6789,-46.5347,67.6471,7.874,166.6667,-9.1667,14.8148,18.74651666666666,22.0588,20.4819,106.25,-10.2804,3.5714,-8.4211,-10.9312,-23.0159,-51.5152,33.5937,82.0513,69.7368,12.6984,67.0,-1.7241,5.9701,-9.2593,44.6809,5.0,23.5294,36.7347,15.3846,76.25,-23.913,5.4795,-31.0345,18.4612,14.2857,29.8701,-13.3136,81.8926,-21.5517,18.74651666666666,0.0,0.6098,4.7619,12.7962,15.5556,-29.8246,2013-06-30 00:00:00
-24.4387,3.7037,6.0,505.0,-56.0811,145.7143,9.1603,-1.8519,-9.1237,-25.5814,40.30075,39.0071,12.3596,4.5455,-44.3299,7.7381,-46.8085,2.1390000000000002,-1.0,58.3333,98.0198,34.4262,-55.1351,25.9259,27.451,138.7755,14.2857,23.0159,4.918,118.75,26.7857,553.3333,90.7456,76.25,-4.797,31.1475,-13.7405,28.75,166.6667,17.3913,12.7976,-44.4444,-33.8615,40.30075,-10.2941,15.8824,-16.0,13.1222,34.7826,-25.0,2013-09-30 00:00:00
269.992,3.7037,-4.878,-9.6386,86.2069,31.8182,86.7647,37.3626,-16.6667,92.5814,33.63914166666665,-19.4631,10.8696,-96.1538,-16.8919,15.3846,-27.5587,18.8776,-1.0,51.0879,98.0198,-16.9811,272.2222,20.2532,28.1806,138.7755,14.2857,26.7176,4.918,-56.3636,36.214,73.1707,90.7456,84.2105,-30.2949,-5.8824,-11.3924,23.9383,125.0,-56.4103,11.7534,-65.2024,-50.9434,33.63914166666665,48.8372,288.8889,-16.0,15.8371,34.7826,-25.0,2013-12-31 00:00:00
-66.2722,-63.4921,40.0,18.018,223.3333,31.8182,-7.2993,33.6,-7.9208,-39.0244,7.245904166666667,3.6585,15.0538,11.538499999999999,15.3846,12.2699,-87.3016,22.0,-7.1429,17.9775,-3.75,-16.9811,-6.9767,18.5185,35.5556,-9.1743,4.4776,-17.4825,-27.1429,-14.4928,20.0,-0.8065,-60.0,50.0,-25.625,7.0423,36.2963,4.717,16.6667,-13.1783,-10.2941,-65.2024,58.8235,7.245904166666667,19.4805,-15.3846,-16.6667,17.0732,36.1111,160.0,2014-03-31 00:00:00
-24.2788,-63.4921,15.2542,8.0,50.0,7.0175,-2.9196999999999997,12.5,-21.1009,6.4516,4.188352083333334,-0.6024,2.0,33.3333,-35.4167,11.4943,-86.2069,10.9091,46.3918,112.5,13.4503,-32.3944,-6.9767,46.4789,-17.3653,-57.0175,-4.2254,23.1293,-48.5294,1.5873,53.3333,-97.7612,-6.6667,-66.6667,7.1429,7.7922,16.6667,5.9694,75.0,-47.0,45.0512,175.0,26.3736,4.188352083333334,13.461500000000001,-10.303,-36.3636,20.1681,-13.461500000000001,33.3333,2014-06-30 00:00:00
5.7280999999999995,-50.0,45.283,9.0909,66.1538,33.7209,4.8951,59.434,-67.0909,-31.25,68.67033749999999,-33.1633,4.0,52.1739,53.7037,11.6022,72.0,21.466,36.3636,-6.015,-29.5,13.4146,945.7831,19.6078,16.1538,13.6752,-16.6667,16.129,-4.6875,1.4285999999999999,64.0845,-9.1837,-29.2683,-66.6667,15.1163,6.25,-22.1239,-2.9126,162.5,114.8148,-8.1794,780.0,53.9721,68.67033749999999,-8.1967,-35.0254,966.6667,22.4,-4.8387,33.3333,2014-09-30 00:00:00
5.7280999999999995,-50.0,7.6923,48.0,-16.6667,-96.5517,4.8951,-28.0,-69.3333,-31.25,90.47172291666665,-33.1633,1.9607999999999999,3100.0,22.7642,12.1212,7.8986,5.1502,-12.5,-83.876,-95.1327,-59.0909,9.4527,17.8947,-81.0769,-60.3175,-16.6667,-0.6024,-4.6875,162.5,30.5136,-91.5493,32.2581,-666.6667,-28.4615,29.6875,140.0,10.2649,55.5556,226.4706,-3.9655,766.4735,203.8462,90.47172291666665,-15.625,-35.0254,966.6667,26.5625,-4.8387,33.3333,2014-12-31 00:00:00
5.7280999999999995,52.1739,1.7856999999999998,20.6107,-54.6392,700.0,0.7874,-7.1856,-73.1183,16.0,42.32809375000001,-87.0588,-0.9346,-41.3793,13.3333,2.7321999999999997,625.0,16.9399,26.9231,3.8095,-25.3247,17.5439,-6.6667,21.875,-37.7049,14.1414,-10.0,-14.4068,62.7451,-11.8644,158.3333,22.7642,150.0,-360.0,-42.0168,-1.3158,-16.8478,-0.9009,414.2857,226.4706,0.4098,235.2941,-18.5185,42.32809375000001,-5.4348,-35.0254,-55.0,9.1667,-4.8387,123.0769,2015-03-31 00:00:00
5.7280999999999995,-64.8649,-4.4118,-3.7037,-9.8765,21.3115,0.7874,6.5359,-83.7209,63.6364,114.49792291666667,-87.0588,1.9607999999999999,-50.0,95.1613,6.1856,483.3333,7.7869,16.9014,-14.7059,3.0928,54.1667,-3.2258,-1.9231,-35.5072,179.5918,-13.2353,-20.9945,5.7143,15.625,24.8447,4933.3333,85.7143,-360.0,-90.0,-8.4337,-12.857099999999999,-0.9009,-3.5714,226.4706,-15.5294,304.5455,-73.0435,114.49792291666667,-38.9831,-84.4595,7.1429,-3.4965,33.3333,-2.5,2015-06-30 00:00:00
5.7280999999999995,-58.1421,0.0,0.0,-9.8765,-40.0,-5.3333,-28.4024,-83.7209,150.0,-1.7968125,-87.0588,1.9231,-31.4286,-8.4337,3.4653,0.0,-7.3276,4.4444,8.8,22.695,-20.4301,-96.0829,-28.6885,-48.3444,5.2632,-16.6667,-16.6667,-3.2787,9.8592,5.1502,52.809,37.931,72.3404,-63.2997,-10.5882,67.0455,-29.2414,-28.5714,226.4706,-12.6437,18.1818,6.3063,-1.7968125,3.5714,-84.4595,7.1429,-1.3072,27.1186,-2.5,2015-09-30 00:00:00
-31900.0,-58.1421,2.3810000000000002,-10.8108,-75.5556,1600.0,-5.3333,28.8889,43.4783,150.0,-737.7102104166667,-9166.6667,-1.9231,-53.125,54.3046,-8.6486,488.588,-62.449,85.7143,241.57,654.5455,222.2222,-17.2727,-36.6071,-48.3444,198.0,-16.6667,-26.6667,-3.2258,1.5873,0.6944,1616.6667,12.1951,39.1304,-63.2997,-21.6867,-73.2143,13.7253,521.4286,226.4706,-17.4147,-34.4828,11.3924,-737.7102104166667,5.5556,-62.3874,7.1429,-19.1358,-52.7132,200.0,2015-12-31 00:00:00
