HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date1,Date2
-0.9827278,-6.215084,0.2938678,3.620616,-4.033428,0.2537745,5.329013,3.786364,-0.3537736,-2.625483,1.052314,0.717772,-1.796641,4.829154,4.069654,1.345057,7.091249,1.861769,-1.995784,-0.0736377,-10.41692,5.732044,0.133232,5.019927,3.219316,6.069406,1.749752,-0.3859858,4.883873,-0.4506641,-0.2656434,-4.230769,2.529414,0.05820722,5.512557,5.444808,4.814637,3.046476,-0.6848887,3.319268,2.451839,0.2236136,5.634455,-6.729353,-0.9700428,4.835182,2.583837,-6.966945,2013-01-31 00:00:00,2013-02-28 00:00:00
7.834419,5.107433,4.573755,5.529594,1.82781,11.2617,4.813944,7.121272,8.146704,4.282316,3.710095,5.444698,6.698402,8.719822,2.221154,-0.05178217,9.795102,4.823105,0.614144,3.131909,4.715974,5.055802,-3.802184,3.932244,2.172097,5.516769,2.80321,3.832981,2.866308,5.408625,4.527967,2.409639,1.425523,5.054299,3.260507,5.027598,2.893891,4.358026,6.209232,5.877768,4.886433,3.547523,3.849879,-4.065966,9.006978,3.86551,6.107804,-4.109589,2013-02-28 00:00:00,2013-03-31 00:00:00
0.7959782,-22.65457,9.686283,0.6782314,3.740983,8.787703,5.317412,4.538207,-3.813326,4.258555,0.5823627,2.676399,-2.772466,3.082542,-1.505032,-8.134012,8.711082,3.595536,-4.608559,1.366116,-10.44834,5.53754,-0.6142342,-0.06984866,3.31994,0.4411002,6.611306,6.164583,-0.3923146,5.470163,4.922665,10.58823,2.684733,0.8344923,6.643254,1.862219,7.158197,-2.049109,-5.044538,10.39611,-2.1996,-2.197802,4.779669,13.89562,1.788574,3.897198,4.514154,0.6122449,2013-03-31 00:00:00,2013-04-30 00:00:00
-6.608479,5.802469,2.329875,4.016064,-1.250203,-15.70744,-6.163388,-0.48449,0.6583655,15.22385,2.53974,7.59975,-1.637625,-0.9916226,5.913494,12.92327,-6.100908,-10.05483,7.606902,6.520198,4.25838,-0.1772631,-1.880962,0.7730975,-6.5937,-0.4143089,-11.02457,-1.12298,-7.051084,11.447,-0.6771398,41.84397,1.42438,8.937931,-8.603184,0.4146673,-6.8545,2.031353,3.18201,-8.330222,6.933085,0.5309452,-8.473997,3.148107,-7.73669,4.963048,2.318204,-3.360029,2013-04-30 00:00:00,2013-05-31 00:00:00
-1.217236,-11.72923,-0.2059308,-5.967948,-11.52581,-1.467773,1.169165,1.995723,-0.8060111,-1.339286,-1.369416,1.775586,-4.460094,-0.9208633,-0.8343158,-9.337123,0.7868705,0.8516361,-1.958127,-6.686627,-7.523941,1.128418,-1.457323,0.6752037,1.171763,-5.144275,3.159091,-1.87684,-0.7513884,-7.732256,-4.881374,2,-3.592668,1.31724,1.583406,0.1907754,-3.250564,4.145707,-8.129026,-1.46994,-3.131284,1.4292,0.4410684,-2.414422,-6.750264,-0.2198939,-2.959193,3.595166,2013-05-31 00:00:00,2013-06-30 00:00:00
11.98676,0.1669449,-3.693768,7.344332,-23.20298,-0.9391192,1.708874,8.898207,5.442472,9.760827,8.339422,5.403441,-0.3159003,3.47081,7.389118,11.73705,3.494427,5.185185,14.88359,12.64926,4.526316,8.158235,13.49428,0.3700278,0.8928792,1.417756,4.990086,0.2000572,-0.1206934,8.692933,5.432877,-7.598039,6.379922,6.803916,5.506641,6.261201,6.275584,4.080613,2.056407,-3.789348,9.960375,2.818123,6.074652,-0.2017259,5.235602,2.793622,4.215224,7.990668,2013-06-30 00:00:00,2013-07-31 00:00:00
0.5237712,5.9,-4.882217,-2.069906,1.362862,0.6888308,-5.384615,-6.892974,-4.764513,-4.087678,2.220166,-4.908468,-2.824743,-10.58395,-2.737038,2.172728,-0.9130435,-6.561479,-5.507895,-5.437202,-5.049633,-0.8573909,-0.09529079,-0.6944019,-4.08279,-1.366867,-3.367957,-3.365659,-9.656157,-7.289714,-9.009009,-13.2626,-3.541586,-3.996239,-5.417256,-2.576111,-11.17517,-1.482302,-6.076543,-3.579313,-3.128583,-1.678156,-4.768039,-0.9432903,6.057946,-2.68766,-3.783012,-1.869655,2013-07-31 00:00:00,2013-08-31 00:00:00
3.661044,-10.84914,4.281165,4.655607,3.289316,-2.787799,1.674316,0.3240366,-4.899642,4.200123,4.841629,0.5842259,4.565376,1.058285,5.132946,7.849026,3.422554,1.79878,2.892119,1.513114,21.19746,8.371515,9.167284,6.765599,-0.02955956,7.19235,0.167064,2.796221,6.152724,0.3724395,-0.420042,16.51376,0.8884829,-3.345172,-0.3471039,0.5981511,0.7488767,9.083509,1.596533,1.529948,10.16828,5.61411,-1.608187,6.804951,1.358994,1.172333,2.907861,-9.559435,2013-08-31 00:00:00,2013-09-30 00:00:00
4.990949,-2.989324,6.757995,0.4252734,6.578336,-3.711201,14.62535,6.828931,0.2740143,2.00755,6.519697,3.315586,7.001757,1.266021,5.393183,-4.4028,10.40604,7.412399,1.14249,5.831942,6.660791,7.330903,6.066093,7.518879,8.492006,11.87718,0.8229098,8.384279,9.049255,0.5772006,10.58183,-12.33596,-1.26749,10.15009,4.78933,7.286487,7.550243,12.02806,-3.22389,3.959602,4.313793,18.61507,4.284299,2.715416,-1.787679,-2.536372,5.57711,6.158088,2013-09-30 00:00:00,2013-10-31 00:00:00
-0.0862069,-8.91416,-1.662358,6.896552,4.471101,-4.669604,1.074074,2.921835,3.916806,-0.1753361,-0.7227601,3.844387,-0.9370376,-0.6888517,6.608093,4.705043,4.201355,-1.394895,-2.233786,5.974843,0.9443985,1.103774,-5.655143,4.85409,-2.734807,1.941409,0.2611819,-0.6715015,2.885395,8.487085,4.487004,8.982036,2.921047,4.734411,-3.471218,-1.873516,-4.003725,-6.259175,0.7938161,-12.58712,5.760403,-1.945257,0.1211558,-1.165695,-1.372165,7.549538,4.91502,4.94233,2013-10-31 00:00:00,2013-11-30 00:00:00
