HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date,Metric
0.9206,2.886,3.3771,2.2628,0.9131,4.0324,3.6867,3.6116,4.6408000000000005,2.0855,,4.7244,2.6316,2.6834,2.4747,2.6339,,1.651,4.2516,4.4232,2.0647,2.3689999999999998,2.3465,1.1674,1.6947,2.8949,4.9355,2.6195,5.5801,4.7467,0.5684,0.1459,6.6132,,3.4123,1.9538,4.18,2.1102,3.9937,1.0375,1.7384,5.0772,1.9009,1.4599,3.0326,2.6254,4.1638,2.0116,4.2515,2.918,2012-06-30 00:00:00,EQY_DVD_YLD_IND
0.7446,2.4993,3.9726,2.2826,1.7358,5.9022,3.6003,3.5409,5.4975,2.0284,,4.617,2.5484999999999998,2.2953,2.2688,2.5536,,2.169,3.7731,4.723,1.8242,2.2989,2.2991,1.2344,1.5208,3.1857,4.6684,3.1432,5.3419,5.271,0.5239,0.1222,6.2187,,3.0885,1.9324,4.1375,2.1442,3.7494,0.9492,1.6389,5.1264,1.7890000000000001,1.3266,3.1856,2.6165000000000003,3.5745,2.0219,4.4264,2.745,2012-09-30 00:00:00,EQY_DVD_YLD_IND
0.7553,3.0146,4.3647,2.0439,1.7658,7.0612,3.6579,3.4807,4.9705,1.5444,,4.5525,2.5746,2.4443,2.4337,2.5417,,1.8458999999999999,4.0111,4.7962,1.7633999999999999,2.0233,2.1552,1.2796,1.5873,3.0924,5.3397,3.2342,5.4203,5.598,0.4765,0.1011,1.7869000000000002,,3.329,1.9776,4.1299,2.3262,4.3478,0.9829,1.775,4.9927,2.1943,1.4689,3.6906,2.9393000000000002,3.9707,2.1954,4.3272,2.7196,2012-12-31 00:00:00,EQY_DVD_YLD_IND
0.5586,4.0582,4.1218,1.7738,1.6776,3.5963000000000003,3.4502,2.9928,4.5613,3.0418,,4.3927,3.2441,2.167,2.1037,2.3891999999999998,,1.7269999999999999,3.6413,4.2155,1.7175,1.8578000000000001,2.319,1.1474,1.6691,2.8871,4.906,2.5947,5.0596,5.1178,0.4024,0.0904,1.5855000000000001,,3.0298,1.8915,3.6289,1.9193,3.75,0.8646,1.5939999999999999,4.506,1.9131,1.2928,3.1709,3.4053,3.6172,1.9381,3.7235,2.9154999999999998,2013-03-31 00:00:00,EQY_DVD_YLD_IND
0.6016,4.6745,3.7144,1.8094999999999999,1.8584,4.0155,3.4801,3.0748,5.2084,2.5856,,4.3636,2.9077,3.0888,2.4978,2.3228,,1.8439999999999999,3.569,4.6222,1.714,2.1390000000000002,3.3083,1.0799,1.7443,2.8677,5.0847,2.7529,5.2352,5.03,0.4828,0.0834,1.6055000000000001,,3.3801,1.7073,3.9099,1.8817,3.9196999999999997,0.9327,1.9884,4.5651,1.8955,1.3007,3.3179,2.9909,4.3425,1.7890000000000001,3.6201,2.9163,2013-06-30 00:00:00,EQY_DVD_YLD_IND
1.293,3.5587,3.9265,1.8955,2.3245,4.1835,3.5879,3.0453,5.4923,2.3711,,3.9707,2.9042,3.0737,2.6883,2.1271,,1.8815,3.3941,4.6721,1.5404,1.9874,2.7701000000000002,0.9316,1.4147,2.7142,5.3223,2.6891,5.2145,5.5895,0.504,0.0825,1.6873,,3.2922000000000002,1.7298,3.9709,2.0973,4.1625,0.8357,2.0521,4.9054,1.6205,1.222,3.789,2.8531,4.0292,2.0342,3.5403000000000002,3.0637,2013-09-30 00:00:00,EQY_DVD_YLD_IND
1.2048,3.4737,3.4675000000000002,1.8144,2.1155,4.5272,3.2362,2.8824,5.1874,2.5924,,3.9066,2.6432,2.7875,2.7185,2.4385,,1.7734,2.9086,4.5211,1.7348,1.7172,2.332,1.055,1.3872,2.3601,5.2332,2.2407,5.2647,5.0013,0.4297,0.0768,2.2959,,3.2023,1.4304000000000001,3.9464,1.9952999999999999,4.557,0.8222,2.0259,5.7122,1.3636,1.0858,3.701,2.8063000000000002,3.9409,1.881,3.2538,2.4894,2013-12-31 00:00:00,EQY_DVD_YLD_IND
1.2066,2.5597,3.4865,1.6306,2,3.6949,3.1798,2.6875999999999998,4.9033,3.2051,,3.9232,2.8146,2.9983,2.8425000000000002,2.521,3.4863,1.678,3.0924,4.3808,1.6239,1.7002000000000002,1.9604,1.0186,1.641,2.7521,5.2466,2.2229,4.8452,5.1296,0.3713,0.084,2.2851,,3.3639,1.5444,3.5267,1.8582,4.1133,0.7883,1.9741,5.3356,1.7469999999999999,0.9228,3.3512,3.1508,3.9675000000000002,1.9397,3.5655,2.6413,2014-03-31 00:00:00,EQY_DVD_YLD_IND
1.0112,0.3931,2.9126,1.496,2.0222,3.3991,3.1521,2.6764,5.2957,2.9002,,3.2194,2.6635999999999997,2.6593999999999998,3.5893,2.3876,3.3058,1.6202999999999999,3.2422,4.2054,1.6027,1.8143,3.5006,0.988,1.3565,2.6106,5.2036,2.0965,4.5193,4.578,0.364,0.0849,2.1516,,3.2784,1.5949,3.5444,1.9924,3.9164,0.9295,2.4273,5.0742,1.5997,0.9134,3.3247999999999998,2.9254,3.8481,1.8246,3.3535,2.656,2014-06-30 00:00:00,EQY_DVD_YLD_IND
1.0602,0.4338,2.5846999999999998,1.9607999999999999,2.2517,3.6374,3.259,2.6269,5.3347999999999995,3.3807,,3.816,2.6991,3.6409000000000002,3.3184,2.4139,3.757,2.364,3.1276,4.253,1.7307000000000001,1.7557,4.2699,0.9579,1.5734,2.7266,5.2213,2.043,4.8895,4.5276,0.3641,0.0772,2.1159,,3.5869999999999997,1.6045,3.6278,2.2425,4.1077,1.0532,2.3179,5.0986,1.7743,1.0452,3.6279,3.1226,4.047,1.8447,3.1559,2.4894,2014-09-30 00:00:00,EQY_DVD_YLD_IND
1.3546,0.5291,2.6454,1.8548,2.1906,3.3441,2.9081,2.6776,5.2241,3.2258,,4.2282,2.5538,3.2321,2.7401,2.4951,3.4374000000000002,2.1641,3.1278,3.8066,2.1091,1.6761,3.7295,1.2629000000000001,1.8733,2.4107,5.5969,2.0801,4.4198,4.2216,0.3335,0.0739,2.1324,,3.8153,1.7079,3.1955999999999998,2.0591,3.8186,1.518,2.7425,4.361,1.5775000000000001,1.2128,3.2044,3.5742000000000003,5.0734,1.6787999999999998,2.9228,2.206,2014-12-31 00:00:00,EQY_DVD_YLD_IND
1.4734,0.4606,3.07,1.6014,2.1711,3.6894,3.2862999999999998,2.7833,5.5894,3.7175000000000002,,4.6899999999999995,2.5735,3.4992,2.5343999999999998,2.4856,3.2,2.2504,2.9096,4.1417,2.3101,1.6899,3.4617,1.154,2.3969,3.0122,5.758,2.293,4.7704,4.1583,0.2934,0.0776,2.0721,,4.077,1.7727,3.4205,2.1207,3.5754,1.4724,2.7414,4.2658,1.7039,1.0695000000000001,3.4141,3.9468,4.5859,2.0312,2.8398,2.0903,2015-03-31 00:00:00,EQY_DVD_YLD_IND
1.4952,0.4281,3.1563,1.7202,2.3479,3.9465,3.3217,3.0782,5.4751,3.9973,13.75,4.7549,2.6671,3.6825,2.7441,2.6572,4.3204,2.3782,2.4602,4.503,1.9555,1.6202,3.8647,1.1674,2.3205,3.0131,5.2928,2.7015000000000002,5.056,4.2527,0.3158,0.3621,1.956,,4.4366,1.6368,3.9121,2.4091,4.2591,1.687,3.1969,5.0282,1.7206000000000001,1.1021,2.0789,3.8590999999999998,4.1122,2.3068,3.3225,2.0247,2015-06-30 00:00:00,EQY_DVD_YLD_IND
1.9976,0.6223,3.1851,2.1693,3.5358,4.1751,3.2282,3.2137000000000002,1.4003,4.4215,1.8547,6.1718,2.9211,4.5355,2.8477,2.892,4.7968,3.5918,2.5506,4.5872,2.4722,1.7368999999999999,4.4755,1.2031,2.8998,2.9588,5.7704,3.089,4.5911,4.1544,0.3756,0.4031,2.3869,,5.426,2.0438,3.6332,2.5381,3.9295999999999998,2.3857,3.5869,4.873,2.2848,1.3067,1.7903,4.537,6.1538,2.4884,3.0917,2.4145,2015-09-30 00:00:00,EQY_DVD_YLD_IND
2.0627,0.5559,2.7866,1.8723,3.987,4.4653,2.7651,2.9206,1.2058,4.2583,2.2388,6.3397,2.7594,4.1361,3.085,2.7217000000000002,4.234,4.4313,2.7316000000000003,4.6225000000000005,2.7255000000000003,1.6497000000000002,4.3302,1.224,2.8674,3.0344,5.5798,2.7899000000000003,4.4243,3.8825,0.3628,0.3865,2.3157,,4.7577,2.0081,3.6414,2.6123,3.8548999999999998,2.1865,3.7785,4.8508,2.098,1.4735,3.8589,4.439,9.9611,2.8133,2.8855,2.2026,2015-12-31 00:00:00,EQY_DVD_YLD_IND
1.8993,0.3762,3.2148,1.9689,4.0741,3.4579,2.7359,2.7725999999999997,1.1198,4.4444,1.7143000000000002,2.4832,3.1017,4.0026,2.7224,2.6646,4.8361,3.5474,2.5468,4.0902,2.5474,1.8463,3.9506,1.2554,2.7119,2.9582,4.9017,2.8348,3.9926,3.6068,0.4944,0.479,2.4863,,4.4864,2.2181,3.2208,2.5323,3.5441000000000003,1.2735,3.4335,4.9611,2.0642,1.5514000000000001,3.2962,4.384,15.9303,2.7656,2.7797,2.274,2016-03-31 00:00:00,EQY_DVD_YLD_IND
