HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
1.35,1.9698,0.3086,1.7138,0.3411,3.0187,1.6846999999999999,0.9134,1.502,8.1416,1.1294,,4.5217,2.4798,0.8333,0.2632,2.3069,4.5725999999999996,3.3377,,1.1088,3.8642,0.9921,1.6202,2.2713,1.8542,4.3408999999999995,1.9561,1.741,17.4892,2.711,77.6538,0.2007,,3.4685,1.492,7.9833,2.5655,1.2173,7.6604,2.0579,,4.0262,0.5366,3.0063,1.161,2.2007,2.748,2012-06-30 00:00:00
1.1573,2.3266999999999998,0.6069,1.7699,0.3679,3.1831,1.7032,0.8796,1.6644,7.999,1.0207,,4.0291,2.451,0.8282,0.2783,2.3086,7.5056,4.2103,,1.5093,2.6927,1.0442,2.0974,2.2679,2.0578,4.4022,1.9596,1.7527,20.7597,2.5807,77.6538,0.2543,,3.3437,1.5079,7.8197,2.1544,1.2993000000000001,7.1531,1.7691,,3.7381,0.5489,3.5237,1.1351,1.9685000000000001,2.8091,2012-09-30 00:00:00
1.234,1.4435,0.6256,1.8306,0.3987,3.0705999999999998,1.7457,0.8275,1.6785,9.4417,1.0664,,4.1671,2.3487,0.7722,0.2964,2.2304,6.9585,4.1233,,1.629,2.5789999999999997,1.0881,4.0303,2.2429,2.1458,4.5797,1.8558,1.5493000000000001,20.1258,4.3805,77.6538,0.2518,,3.5137,1.4433,7.772,1.5164,1.2036,7.8926,1.6111,,3.8314,0.6267,4.5338,1.0578,2.4156,2.7536,2012-12-31 00:00:00
0.9978,1.6800000000000002,0.6644,1.7506,1.4365,2.9469,1.7852999999999999,0.7901,1.6465999999999998,9.7058,1.0695999999999999,,3.0743,1.8595000000000002,0.7604,0.3354,3.0004,6.1082,3.5962,,1.6303999999999998,2.3609,1.0379,3.925,2.3954,2.1244,5.0893,1.7378,2.3471,20.2188,1.5932,77.6538,0.3061,,3.327,1.377,8.1946,1.6095000000000002,1.2681,8.9158,1.7048999999999999,,3.6782,0.6444,4.5955,1.142,2.4341,2.9678,2013-03-31 00:00:00
0.703,10.5679,0.6761,1.7426,1.6912,2.9098,1.8231000000000002,0.7085,2.4979,9.7388,1.0816,,2.8192,1.9233,0.7629,0.3529,2.5162,5.869,3.1658,,2.0163,2.9849,1.0153,3.7423,2.4796,2.1769,4.8639,1.8352,2.2636,19.5338,1.8603,77.6538,0.4607,,3.3352,1.3299,8.6403,1.4639,1.3317999999999999,7.95,2.6625,,3.6176,0.6381,4.7409,1.1154,2.5343999999999998,3.3371,2013-06-30 00:00:00
0.7858,22.0067,0.6616,1.5504,1.7859,2.7291,1.7543,0.6808,2.5741,9.7267,1.0395,,3.6912000000000003,2.0833,0.7335,0.7418,2.155,5.3824,2.6207000000000003,,1.6479,3.1962,1.0058,2.9858000000000002,2.4934,2.2304,4.5498,1.8001,1.9431,16.924,2.0129,6.0708,0.4321,,3.4302,1.2729,9.5181,1.5144,1.3855,7.8546,2.015,,3.6403,0.6046,4.6475,1.0541,3.0436,3.2517,2013-09-30 00:00:00
0.7521,22.0067,0.652,1.5558,2.0613,2.7063,1.5691000000000002,0.8087,2.5704000000000002,9.383,1.086,,4.8729,1.9182000000000001,0.7477,0.6938,2.0424,5.1369,1.8536000000000001,,2.109,2.9050000000000002,1.0297,1.2258,2.4934,2.2608,4.5498,1.7499,1.0304,15.3626,1.6156000000000001,4.5201,0.4935,,3.5302,1.2732999999999999,8.9328,1.5758,1.415,6.5518,2.3939,,3.5417,0.5254,5.2872,1.0384,4.2396,3.3391,2013-12-31 00:00:00
0.8228,22.0067,0.6119,1.5028000000000001,1.8580999999999999,2.9413,1.7397,0.7452,2.4312,10.2294,1.0745,,4.6034,2.093,0.8099,0.6477,2.2476,5.0335,2.0509,,1.9933999999999998,2.8845,0.9374,1.3686,2.4934,2.2459,4.5498,1.7770000000000001,1.815,15.7417,2.0498,3.9535,0.5774,,3.3321,1.2724,9.2845,1.8075999999999999,1.6296,6.1946,2.3438,,3.3071,0.5425,5.8729,1.0741,4.1221,3.2617,2014-03-31 00:00:00
1.0157,183.3784,0.5826,1.4664,1.8024,3.1285,1.8091,0.7114,2.5421,9.9046,1.0773,,4.165,2.1428,0.8403,0.6436,2.0894,4.8146,2.1026,,1.6441,2.6686,1.0194,1.5105,2.4934,2.1209,4.5498,1.7835,1.8765,17.5601,1.937,4.2543,0.5814,,3.3345000000000002,1.2757,9.6842,1.7069999999999999,1.6505,5.6243,2.2504,,3.2302,0.5582,7.4931,1.1037,3.9267,2.7359,2014-06-30 00:00:00
0.9973,183.3784,0.5714,1.4569,1.7273,3.0256,1.7345000000000002,0.6129,3.1567,10.9855,1.1797,,3.9287,2.1152,0.8674,0.61,2.2845,4.7056000000000004,2.1402,,1.8164,2.4506,0.9846,1.5285,2.4934,1.9759,4.5498,1.8149,1.6059,17.4867,2.088,46.0833,0.6449,,3.573,1.5856,8.2644,1.9677,1.6286,5.4529,2.1902,,3.2738,0.7646,9.0772,1.1251,4.1503,2.6651,2014-09-30 00:00:00
