HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity
14.1707,5.5059000000000005,112.2381,12.5832,12.0935,3.965,5.2899,34.3813,10.8611,-4.2697,-0.9804,8.526,68.45442727272719,4.6556,14.106,62.875,31.2596,41.5294,3.6022,4.522,2.4833,68.45442727272719,8.6207,11.1894,20.6437,14.3793,-1.0537,8.7752,4.5388,68.45442727272719,68.45442727272719,1.7521,29.1429,-2.275,2508.5,68.45442727272719,7.9906,18.6171,3.0899,5.2373,56.0171,3.5572,6.2971,68.45442727272719,5.842,-122.6667,3.8889,19.6027,9.2087,11.7018
3.5529,9.2471,95.9811,16.3838,12.2808,6.7072,13.0833,45.2246,7.9714,19.1455,0.2075,9.1485,72.67738181818184,3.8916,10.929,66.7419,20.8273,48.2857,4.8868,5.804,6.5143,72.67738181818184,8.6207,9.2776,28.8902,25.046,11.2736,6.4545,5.933,72.67738181818184,72.67738181818184,3.5832,26.5135,-2.3,2508.5,72.67738181818184,6.2091,22.1175,3.2054,8.9825,34.8148,3.5672,4.7005,72.67738181818184,7.8468,27.0714,2.6056,16.6757,9.2087,12.193
4.9186,8.2805,55.75,14.8923,10.9151,13.8258,-4.8629999999999995,44.3206,7.6944,19.2,1.6667,10.7,76.75350454545455,3.7412,12.7027,62.4,34.0463,49.9412,14.4813,5.3275,8.7286,76.75350454545455,8.6207,10.3354,29.3256,28.7209,11.2736,7.9254,3.9721,76.75350454545455,76.75350454545455,3.5487,24.5682,-2.9744,2508.5,76.75350454545455,3.8174,3.3926,3.0709,8.7222,42.3652,4.19,9.767,76.75350454545455,4.4272,220.5714,3.1298,15.9869,9.2087,36.0189
6.131,5.3649000000000004,51.1508,15.2485,5.1825,8.5889,12.9865,45.2195,8.1053,18.1553,1.6400000000000001,1.9443000000000001,69.89934318181815,3.2644,9.5166,58.7105,26.5893,42.875,12.026,6.704,8.2,69.89934318181815,8.6207,17.2094,26.8023,30.253,10.6353,8.0146,4.2127,69.89934318181815,69.89934318181815,3.3978,26.7317,-0.3659,2508.5,69.89934318181815,5.5862,7.672,3.3073,4.507,37.2137,4.3425,10.1057,69.89934318181815,5.0601,-41.9362,2.9962,17.293,9.2087,18.6
-13.1047,0.7746,22.0337,12.432,7.1929,6.3453,10.6711,26.2625,9.2973,20.7547,3.6863,-8.8955,65.13222272727275,3.0115,17.9671,42.1556,35.115,20.0,4.9797,5.0815,4.5507,65.13222272727275,8.6207,8.4416,-1.4176,30.4941,12.2563,6.5563,3.7257,65.13222272727275,65.13222272727275,2.9586,28.8049,-0.875,2508.5,65.13222272727275,3.367,20.0023,3.0008,-9.1125,45.9219,3.6527,8.0675,65.13222272727275,5.3533,-92.2373,-1.1118999999999999,14.8476,9.2087,16.4808
1.1647,6.2432,17.2995,15.7581,6.584,5.3868,12.8421,39.6438,11.4242,17.755,-2.8689,1.9858,66.63283111111105,2.9579,4.4771,45.617,33.5748,31.4737,6.6633,4.4397,7.8,66.63283111111105,8.6207,8.4717,12.609,25.5376,11.3455,7.0216,4.7768,66.63283111111105,66.63283111111105,3.0051,15.0172,1.4146,2508.5,66.63283111111105,5.531,18.7083,3.5102,4.481,15.2381,3.9819,5.5273,6.8205,7.7423,9.5789,2.4295999999999998,13.1078,9.2087,16.0702
1.8706,11.7606,35.5,12.4647,5.7416,5.266,12.5309,34.6158,17.125,15.6509,4.8235,3.1827,13.32094444444443,3.4649,5.9218,58.7368,37.0903,51.625,16.5821,4.5941,7.3239,13.32094444444443,8.6207,8.6937,-8.7651,27.5851,10.442,7.4493,4.3527000000000005,13.32094444444443,13.32094444444443,3.1276,11.2913,-6.3415,41.6709,13.32094444444443,4.5,16.641,2.7025,6.1538,23.8982,4.3052,10.6425,6.8205,5.2567,10.0952,-0.1409,12.5087,9.2087,32.8525
3.8452,8.5469,40.8608,11.4249,5.8804,5.5814,12.5309,32.7708,19.5,8.2437,5.8889,3.5134,14.160328888888882,3.5088,11.4859,45.44,38.7034,32.25,11.7026,10.347,7.0563,14.160328888888882,8.6207,11.4623,8.6779,27.5319,10.6103,7.4931,4.6413,14.160328888888882,14.160328888888882,3.0662,10.5726,0.8824,81.5472,14.160328888888882,6.5965,18.5581,3.7143,5.5116,25.3861,4.176,11.0165,6.8205,5.999,12.3065,2.6263,13.4348,9.2087,17.6727
-9.4167,-6.7391,38.2055,10.9964,8.8588,6.4073,13.358,30.8587,24.15,18.8439,6.2909,5.4353,11.49579333333333,2.8796,14.0,28.9531,21.1267,33.2222,4.6584,3.9608,6.0435,11.49579333333333,8.6207,10.125,6.4388,1.35,8.4988,7.1901,4.4885,11.49579333333333,11.49579333333333,3.6915,9.3595,1.4062999999999999,58.931,11.49579333333333,4.4962,11.937,5.9332,3.6628,35.7516,4.0252,8.184,6.8205,5.4074,6.2778,3.4744,14.1149,9.2087,15.8235
6.1429,8.5075,49.8462,12.2485,5.8762,6.9223,12.3614,31.549,26.9,9.0922,6.3704,6.3619,14.579573333333343,4.303,12.4,48.4444,36.2313,37.7222,6.0252,4.8737,8.9508,14.579573333333343,8.6207,8.6066,10.1871,21.2843,9.6543,7.162,4.7143,14.579573333333343,14.579573333333343,2.9285,2.354,1.0625,107.3922,14.579573333333343,6.64,10.9382,3.9737999999999998,6.5057,18.7556,4.1916,5.587,6.8205,7.7297,14.961500000000001,3.1143,13.4186,9.2087,19.14
