HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
4.2239,9.1281,7.029,12.7263,8.9334,7.6623,14.6445,11.2004,18.1199,6.505,12.601075555555555,6.6258,12.601075555555555,12.47,9.8031,12.7347,4.6538,9.2109,9.9241,11.3471,11.5895,12.601075555555555,5.0521,13.3615,9.757,16.0292,6.2833,9.254,10.7376,13.8967,12.705400000000001,10.9792,17.1868,67.545,6.239,12.601075555555555,8.6772,15.5053,27.3314,8.7772,8.2317,21.2367,11.1718,12.601075555555555,11.1665,10.6526,24.1632,10.861,8.8141,12.9011,2014-12-31 00:00:00
4.8702,8.3736,5.8382,14.5846,8.5608,6.2285,13.7078,10.9343,23.521,6.6566,12.882455555555559,7.9281,12.882455555555559,13.0706,9.4826,12.7076,4.6425,8.719,10.703,10.7631,11.1532,12.882455555555559,5.6331,14.3301,10.1168,13.2841,6.7698,8.9176,10.6226,13.6669,13.4767,10.0187,15.8256,67.3541,6.895,12.882455555555559,8.9127,14.9896,28.9786,10.2033,8.3104,22.839,12.3951,12.882455555555559,10.7878,14.9393,25.8065,9.8237,9.5465,12.8216,2015-03-31 00:00:00
7.2075,8.0479,5.8899,14.0208,8.4245,5.7709,22.3912,10.9508,36.0148,5.9196,11.6104,10.2001,13.402080434782608,13.7675,9.1029,12.0872,3.318,7.9834,12.7795,10.0818,11.5911,13.402080434782608,5.3289,14.6018,11.2902,11.3068,7.1907,8.2066,9.5931,13.2811,12.9987,9.1734,16.1983,67.3541,7.7402999999999995,13.402080434782608,8.9281,13.6288,24.2794,11.1832,8.9287,19.9586,12.2667,13.402080434782608,16.7011,23.8447,25.3032,8.9547,8.6172,12.4775,2015-06-30 00:00:00
7.8856,6.3901,6.0281,13.5217,6.1966,5.7902000000000005,24.546,10.762,14.7769,4.3099,15.8259,13.3019,12.550432608695656,13.7552,8.3178,11.5455,2.9254,6.7397,12.4549,10.0505,9.3137,12.550432608695656,5.2974,12.7508,10.3602,11.5772,7.1907,7.7435,10.3071,13.82,10.9914,8.13,13.517,67.3541,7.9489,12.550432608695656,9.1153,16.8093,24.7056,12.4796,8.4208,19.4227,9.7157,12.550432608695656,16.4889,20.0168,19.5737,8.479,8.8792,11.7874,2015-09-30 00:00:00
166.0265,8.316,6.7788,15.4756,6.103,5.5608,22.7398,12.1822,16.5842,3.0306,33.7932,34.9294,17.93805869565217,16.5536,7.7673,12.1301,3.237,6.1472,10.8228,10.3729,8.6074,17.93805869565217,5.3281,14.0802,13.3294,9.7737,7.1907,8.6858,10.885,14.5166,12.3717,7.4985,16.1229,67.3541,11.4097,17.93805869565217,11.2715,16.444,24.9169,37.0334,8.344899999999999,19.8759,9.866,17.93805869565217,14.4738,20.0168,27.3589,7.9096,9.9518,11.9824,2015-12-31 00:00:00
186.1507,12.6711,6.3496,14.500399999999999,6.6253,9.05,23.429,12.8347,17.2405,2.6269,46.0834,73.4408,20.38253260869566,29.0552,7.502,13.0792,2.8269,7.3512,12.0394,11.4241,8.6272,20.38253260869566,6.2371,13.892,15.6523,10.2933,7.1907,8.2537,12.1008,15.1482,10.4451,7.2173,15.6961,67.3541,14.8159,20.38253260869566,12.4181,16.7835,25.4185,49.7453,9.6525,19.4601,10.5765,20.38253260869566,13.4717,20.0168,23.1208,8.1607,10.5819,10.9859,2016-03-31 00:00:00
186.1507,15.0585,7.0314,15.4858,8.795,9.2532,15.1006,14.473,19.5797,2.3924,36.053,77.8872,21.649497826086957,25.5159,6.4926,13.6554,2.1518,8.043,12.1133,11.8698,8.5364,21.649497826086957,5.9755,14.8306,47.4355,10.3067,7.2906,8.5319,11.809,16.5472,8.7542,7.6676,14.4622,67.3541,18.1096,21.649497826086957,12.743,21.0375,28.5098,52.1352,10.4117,19.8968,10.1491,21.649497826086957,12.7105,20.0168,44.2146,9.0925,11.1133,9.1327,2016-06-30 00:00:00
186.1507,14.108,8.8326,18.0279,10.0191,8.0753,13.7397,13.2291,18.8585,2.7893,15.1509,228.1652,24.77132826086957,23.4324,6.465,13.6033,2.0814,9.7345,11.1655,9.1942,8.7577,24.77132826086957,5.9291,16.6102,78.3226,10.4471,6.8768,9.3704,10.7531,15.0883,11.2165,8.0419,14.228,67.3541,19.7984,24.77132826086957,11.8045,14.1611,27.2037,37.7124,10.9236,19.7798,10.2375,24.77132826086957,11.6667,20.0168,49.7591,10.2167,10.794,9.5884,2016-09-30 00:00:00
186.1507,15.2565,8.415,15.4739,13.0623,7.8578,11.6924,11.9989,15.806000000000001,2.534,35.0669,19.3197,18.838969565217393,20.876,6.49,13.693,2.3011,9.3669,10.4151,9.3311,8.8317,18.838969565217393,6.4940999999999995,14.6817,49.8673,14.507,7.5682,9.943,10.3594,15.7518,10.643,7.6888,12.7409,67.3541,19.8234,18.838969565217393,12.0344,16.3675,22.2322,14.0071,11.591,17.8519,11.1564,18.838969565217393,11.674,23.7712,22.7836,10.6792,11.2993,9.7831,2016-12-31 00:00:00
101.539,13.672,7.9488,18.6073,15.5235,7.2339,13.0569,13.2357,16.6314,2.5444,28.5607,14.4061,16.96215,20.9615,5.606,14.498,2.2487,9.9986,12.9397,9.6439,9.3471,16.96215,6.05,15.8804,52.6383,14.2782,7.6594999999999995,10.0553,11.2421,15.9474,11.4215,7.0532,21.0906,67.3541,14.7024,16.96215,11.3783,18.8671,20.5519,11.7414,11.6728,18.1263,12.3081,16.96215,11.7073,17.5764,20.0103,10.6175,11.261,10.8643,2017-03-31 00:00:00
