date;jour;mois
20/11/2017;-0,358;
17/11/2017;-0,359;
16/11/2017;-0,358;
15/11/2017;-0,357;
14/11/2017;-0,356;
13/11/2017;-0,356;
10/11/2017;-0,357;
09/11/2017;-0,355;
08/11/2017;-0,356;
07/11/2017;-0,357;
06/11/2017;-0,354;
03/11/2017;-0,353;
02/11/2017;-0,352;
01/11/2017;-0,35;
31/10/2017;-0,348;-0,359
30/10/2017;-0,348;
27/10/2017;-0,36;
26/10/2017;-0,364;
25/10/2017;-0,362;
24/10/2017;-0,361;
23/10/2017;-0,362;
20/10/2017;-0,361;
19/10/2017;-0,36;
18/10/2017;-0,36;
17/10/2017;-0,361;
16/10/2017;-0,359;
13/10/2017;-0,359;
12/10/2017;-0,361;
11/10/2017;-0,362;
10/10/2017;-0,361;
09/10/2017;-0,36;
06/10/2017;-0,359;
05/10/2017;-0,359;
04/10/2017;-0,359;
03/10/2017;-0,356;
02/10/2017;-0,356;
29/09/2017;-0,349;-0,358
28/09/2017;-0,36;
27/09/2017;-0,361;
26/09/2017;-0,359;
25/09/2017;-0,36;
22/09/2017;-0,359;
21/09/2017;-0,366;
20/09/2017;-0,36;
19/09/2017;-0,361;
18/09/2017;-0,363;
15/09/2017;-0,36;
14/09/2017;-0,359;
13/09/2017;-0,358;
12/09/2017;-0,358;
11/09/2017;-0,357;
08/09/2017;-0,348;
07/09/2017;-0,357;
06/09/2017;-0,356;
05/09/2017;-0,357;
04/09/2017;-0,356;
01/09/2017;-0,357;
31/08/2017;-0,345;-0,356
30/08/2017;-0,36;
29/08/2017;-0,36;
28/08/2017;-0,358;
25/08/2017;-0,358;
24/08/2017;-0,357;
23/08/2017;-0,358;
22/08/2017;-0,358;
21/08/2017;-0,358;
18/08/2017;-0,358;
17/08/2017;-0,358;
16/08/2017;-0,358;
15/08/2017;-0,356;
14/08/2017;-0,355;
11/08/2017;-0,356;
10/08/2017;-0,353;
09/08/2017;-0,354;
08/08/2017;-0,355;
