portfolio,cov
"['EXC US Equity', 'TGT US Equity', 'DTE US Equity', 'WELL US Equity', 'WEC US Equity']","[[25.89215886  2.72806342 11.93496076 12.30757996 12.97943216]
 [ 2.72806342 43.5782631  -0.48547121  0.67687823  1.06769617]
 [11.93496076 -0.48547121 14.83958778 12.12349466 13.85501748]
 [12.30757996  0.67687823 12.12349466 30.47520004 13.81643924]
 [12.97943216  1.06769617 13.85501748 13.81643924 18.95565239]]"
"['HES US Equity', 'WELL US Equity']","[[100.41903311   4.09955939]
 [  4.09955939  30.47520004]]"
"['EXC US Equity', 'TGT US Equity', 'PPL US Equity']","[[25.89215886  2.72806342 11.71174001]
 [ 2.72806342 43.5782631   0.55155332]
 [11.71174001  0.55155332 19.51266423]]"
"['EXC US Equity', 'TGT US Equity', 'MO US Equity', 'HSY US Equity', 'WEC US Equity']","[[25.89215886  2.72806342  4.59793345  4.54078826 12.97943216]
 [ 2.72806342 43.5782631   3.46409467  1.54710836  1.06769617]
 [ 4.59793345  3.46409467 29.16115716  9.82905636  5.64387931]
 [ 4.54078826  1.54710836  9.82905636 24.23853542  8.16399132]
 [12.97943216  1.06769617  5.64387931  8.16399132 18.95565239]]"
"['KMB US Equity', 'DTE US Equity', 'HSY US Equity', 'WELL US Equity', 'WEC US Equity']","[[18.98891434  7.58649282  8.82716934  8.7765816   8.30634734]
 [ 7.58649282 14.83958778  8.11705738 12.12349466 13.85501748]
 [ 8.82716934  8.11705738 24.23853542  8.49867145  8.16399132]
 [ 8.7765816  12.12349466  8.49867145 30.47520004 13.81643924]
 [ 8.30634734 13.85501748  8.16399132 13.81643924 18.95565239]]"
"['HES US Equity', 'DUK US Equity', 'HSY US Equity', 'WELL US Equity']","[[100.41903311  -0.49640514  -2.64575329   4.09955939]
 [ -0.49640514  15.09230655   6.92183195  10.88876835]
 [ -2.64575329   6.92183195  24.23853542   8.49867145]
 [  4.09955939  10.88876835   8.49867145  30.47520004]]"
"['HES US Equity', 'MO US Equity', 'DTE US Equity', 'WEC US Equity']","[[100.41903311   6.72056771   4.50376371  -0.27758322]
 [  6.72056771  29.16115716   6.33423752   5.64387931]
 [  4.50376371   6.33423752  14.83958778  13.85501748]
 [ -0.27758322   5.64387931  13.85501748  18.95565239]]"
"['EXC US Equity', 'TGT US Equity', 'DUK US Equity', 'DTE US Equity']","[[25.89215886  2.72806342 11.83651989 11.93496076]
 [ 2.72806342 43.5782631  -2.28759833 -0.48547121]
 [11.83651989 -2.28759833 15.09230655 12.00045256]
 [11.93496076 -0.48547121 12.00045256 14.83958778]]"
"['HES US Equity', 'EXC US Equity', 'HSY US Equity', 'WELL US Equity', 'WEC US Equity']","[[100.41903311  10.86155027  -2.64575329   4.09955939  -0.27758322]
 [ 10.86155027  25.89215886   4.54078826  12.30757996  12.97943216]
 [ -2.64575329   4.54078826  24.23853542   8.49867145   8.16399132]
 [  4.09955939  12.30757996   8.49867145  30.47520004  13.81643924]
 [ -0.27758322  12.97943216   8.16399132  13.81643924  18.95565239]]"
"['PPL US Equity', 'HSY US Equity', 'WELL US Equity']","[[19.51266423  1.80784233  9.22128191]
 [ 1.80784233 24.23853542  8.49867145]
 [ 9.22128191  8.49867145 30.47520004]]"
"['HES US Equity', 'EXC US Equity', 'MO US Equity', 'DTE US Equity']","[[100.41903311  10.86155027   6.72056771   4.50376371]
 [ 10.86155027  25.89215886   4.59793345  11.93496076]
 [  6.72056771   4.59793345  29.16115716   6.33423752]
 [  4.50376371  11.93496076   6.33423752  14.83958778]]"
"['KMB US Equity', 'HSY US Equity', 'WELL US Equity', 'WEC US Equity']","[[18.98891434  8.82716934  8.7765816   8.30634734]
 [ 8.82716934 24.23853542  8.49867145  8.16399132]
 [ 8.7765816   8.49867145 30.47520004 13.81643924]
 [ 8.30634734  8.16399132 13.81643924 18.95565239]]"
"['TGT US Equity', 'DTE US Equity', 'HSY US Equity']","[[43.5782631  -0.48547121  1.54710836]
 [-0.48547121 14.83958778  8.11705738]
 [ 1.54710836  8.11705738 24.23853542]]"
"['EXC US Equity', 'DUK US Equity', 'MO US Equity', 'DTE US Equity', 'WELL US Equity']","[[25.89215886 11.83651989  4.59793345 11.93496076 12.30757996]
 [11.83651989 15.09230655  5.38190606 12.00045256 10.88876835]
 [ 4.59793345  5.38190606 29.16115716  6.33423752  4.75605577]
 [11.93496076 12.00045256  6.33423752 14.83958778 12.12349466]
 [12.30757996 10.88876835  4.75605577 12.12349466 30.47520004]]"
"['TGT US Equity', 'DUK US Equity', 'WELL US Equity']","[[43.5782631  -2.28759833  0.67687823]
 [-2.28759833 15.09230655 10.88876835]
 [ 0.67687823 10.88876835 30.47520004]]"
"['HES US Equity', 'EXC US Equity', 'KMB US Equity', 'WELL US Equity']","[[100.41903311  10.86155027   0.35765881   4.09955939]
 [ 10.86155027  25.89215886   6.47096926  12.30757996]
 [  0.35765881   6.47096926  18.98891434   8.7765816 ]
 [  4.09955939  12.30757996   8.7765816   30.47520004]]"
"['HES US Equity', 'DUK US Equity', 'DTE US Equity', 'WEC US Equity']","[[100.41903311  -0.49640514   4.50376371  -0.27758322]
 [ -0.49640514  15.09230655  12.00045256  13.99886178]
 [  4.50376371  12.00045256  14.83958778  13.85501748]
 [ -0.27758322  13.99886178  13.85501748  18.95565239]]"
"['HES US Equity', 'EXC US Equity', 'KMB US Equity', 'PPL US Equity', 'WEC US Equity']","[[100.41903311  10.86155027   0.35765881   7.35340175  -0.27758322]
 [ 10.86155027  25.89215886   6.47096926  11.71174001  12.97943216]
 [  0.35765881   6.47096926  18.98891434   6.79175117   8.30634734]
 [  7.35340175  11.71174001   6.79175117  19.51266423   9.27362243]
 [ -0.27758322  12.97943216   8.30634734   9.27362243  18.95565239]]"
"['TGT US Equity', 'DUK US Equity', 'MO US Equity']","[[43.5782631  -2.28759833  3.46409467]
 [-2.28759833 15.09230655  5.38190606]
 [ 3.46409467  5.38190606 29.16115716]]"
"['KMB US Equity', 'DUK US Equity', 'MO US Equity', 'DTE US Equity']","[[18.98891434  8.44756961  7.69898443  7.58649282]
 [ 8.44756961 15.09230655  5.38190606 12.00045256]
 [ 7.69898443  5.38190606 29.16115716  6.33423752]
 [ 7.58649282 12.00045256  6.33423752 14.83958778]]"
"['MO US Equity', 'HSY US Equity', 'WEC US Equity']","[[29.16115716  9.82905636  5.64387931]
 [ 9.82905636 24.23853542  8.16399132]
 [ 5.64387931  8.16399132 18.95565239]]"
